"Process","Genus","# of OTUs"
"AD","0319-6G20",1
"AD","AB1",4
"AD","AKYH767",1
"AD","Absconditabacteriales_",2
"AD","Acetitomaculum",1
"AD","Acetoanaerobium",1
"AD","Acetobacterium",1
"AD","Acetobacteroides",1
"AD","Acetomicrobium",2
"AD","Acidaminobacter",3
"AD","Acidaminococcus",1
"AD","Acinetobacter",60
"AD","Actinomyces",2
"AD","Aeromonas",12
"AD","Afipia",2
"AD","Agathobacter",3
"AD","Akkermansia",1
"AD","Algoriella",1
"AD","Alicycliphilus",1
"AD","Alistipes",1
"AD","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",2
"AD","Anaerocella",1
"AD","Anaeromyxobacter",1
"AD","Anaerosinus",1
"AD","Anaerovorax",3
"AD","Aquabacterium",3
"AD","Aquaspirillum",1
"AD","Arcobacter",4
"AD","Arsenicibacter",1
"AD","Atopobium",1
"AD","B55-F-B-G02",1
"AD","BD1-7_clade",1
"AD","BRH-c20a",1
"AD","BSV13",1
"AD","Babeliales",1
"AD","Bacteroides",23
"AD","Bacteroidetes_BD2-2",1
"AD","Bacteroidetes_vadinHA17",1
"AD","Bdellovibrio",7
"AD","Beggiatoa",2
"AD","Beijerinckiaceae",1
"AD","Bergeyella",2
"AD","Bifidobacterium",13
"AD","Blautia",3
"AD","Blvii28_wastewater-sludge_group",1
"AD","Bosea",4
"AD","Brevundimonas",2
"AD","C39",1
"AD","CHAB-XI-27",1
"AD","CL500-29_marine_group",1
"AD","Caenarcaniphilales",1
"AD","Caldicoprobacter",1
"AD","Candidatus_Accumulibacter",11
"AD","Candidatus_Caldatribacterium",3
"AD","Candidatus_Electronema",1
"AD","Candidatus_Hydrogenedens",1
"AD","Candidatus_Kerfeldbacteria",1
"AD","Candidatus_Megaira",1
"AD","Candidatus_Moranbacteria",1
"AD","Candidatus_Nomurabacteria",1
"AD","Candidatus_Paracaedibacter",2
"AD","Candidatus_Saccharimonas",2
"AD","Catenibacterium",2
"AD","Caulobacter",1
"AD","Cellvibrio",1
"AD","Cephaloticoccus",1
"AD","Chitinivorax",1
"AD","Christensenellaceae_R-7_group",9
"AD","Chryseobacterium",9
"AD","Citrobacter",4
"AD","Cloacibacterium",13
"AD","Clostridia_vadinBB60_group",1
"AD","Clostridium_sensu_stricto_1",4
"AD","Clostridium_sensu_stricto_12",2
"AD","Clostridium_sensu_stricto_8",1
"AD","Colidextribacter",1
"AD","Collinsella",3
"AD","Comamonas",9
"AD","Coprothermobacter",10
"AD","Coriobacteriaceae_UCG-003",1
"AD","Corynebacterium",1
"AD","Cytophaga",1
"AD","DEV114",1
"AD","Dechlorobacter",1
"AD","Dechloromonas",6
"AD","Deefgea",1
"AD","Defluviitalea",2
"AD","Defluviitoga",2
"AD","Deinococcus",1
"AD","Delftia",1
"AD","Desulfatiferula",1
"AD","Desulfobulbus",3
"AD","Desulfomicrobium",3
"AD","Desulforegula",2
"AD","Desulfovibrio",6
"AD","Devosia",1
"AD","Devosiaceae",1
"AD","Dialister",3
"AD","Diaphorobacter",1
"AD","Dorea",1
"AD","Dyadobacter",2
"AD","Dysgonomonas",1
"AD","Edaphobaculum",2
"AD","Empedobacter",2
"AD","Emticicia",2
"AD","Enterobacter",7
"AD","Faecalibacterium",5
"AD","Ferribacterium",1
"AD","Ferruginibacter",2
"AD","Flavobacterium",22
"AD","Fluviicoccus",2
"AD","Fonticella",1
"AD","Fretibacterium",1
"AD","Fusicatenibacter",2
"AD","Ga0077536",1
"AD","Gastranaerophilales",1
"AD","Geobacter",2
"AD","Geothrix",1
"AD","Giesbergeria",2
"AD","Glutamicibacter",1
"AD","Gordonia",3
"AD","Gracilibacteria",2
"AD","HN-HF0106",2
"AD","Haliangium",3
"AD","Halomonas",3
"AD","Herbinix",2
"AD","Holdemanella",2
"AD","Holophaga",1
"AD","Holophagaceae",1
"AD","Holospora",1
"AD","Hungateiclostridium",1
"AD","Hydrogenedensaceae",1
"AD","Hydrogenispora",4
"AD","Hydrogenophaga",3
"AD","Hydrothermae",1
"AD","Hylemonella",1
"AD","Hyphomicrobium",1
"AD","Ideonella",1
"AD","Imtechella",1
"AD","Incertae_Sedis",1
"AD","JGI-0000079-D21",1
"AD","Janthinobacterium",1
"AD","KD1-131",2
"AD","Kapabacteriales",5
"AD","Klebsiella",4
"AD","LCP-89",2
"AD","Lachnospiraceae_NK4A136_group",2
"AD","Lactococcus",5
"AD","Lacunisphaera",1
"AD","Legionella",2
"AD","Lentimicrobiaceae",3
"AD","Lentimicrobium",2
"AD","Leptospira",1
"AD","Leptothrix",3
"AD","Leptotrichia",1
"AD","Leucobacter",5
"AD","Longilinea",2
"AD","Luteolibacter",3
"AD","M55-D21",1
"AD","MBA03",2
"AD","MVP-15",1
"AD","Macellibacteroides",6
"AD","Macromonas",1
"AD","Malikia",1
"AD","Marmoricola",1
"AD","Megamonas",2
"AD","Microbacterium",2
"AD","Microlunatus",2
"AD","Minicystis",1
"AD","Mitochondria",3
"AD","Mitsuokella",1
"AD","Moheibacter",2
"AD","Monoglobus",1
"AD","Moraxella",1
"AD","Muribaculaceae",2
"AD","Mycobacterium",5
"AD","NK4A214_group",1
"AD","NS11-12_marine_group",2
"AD","Nakamurella",1
"AD","Nannocystis",1
"AD","Niveibacterium",2
"AD","Odoribacter",1
"AD","Opitutus",1
"AD","Oscillibacter",1
"AD","Ottowia",1
"AD","P3OB-42",1
"AD","Pajaroellobacter",4
"AD","Paludibacter",14
"AD","Paludibaculum",1
"AD","Paracoccus",2
"AD","Parvibium",2
"AD","Paucibacter",1
"AD","Pelomonas",1
"AD","Pelosinus",1
"AD","Peredibacter",2
"AD","Phaselicystis",7
"AD","Phenylobacterium",2
"AD","Phreatobacter",1
"AD","Piscinibacter",1
"AD","Plasticicumulans",1
"AD","Polaromonas",4
"AD","Prevotella",14
"AD","Prevotellaceae_UCG-001",1
"AD","Propioniciclava",3
"AD","Propionicimonas",1
"AD","Propionivibrio",12
"AD","Prosthecobacter",1
"AD","Prosthecomicrobium",1
"AD","Proteiniclasticum",1
"AD","Proteocatella",3
"AD","Pseudarcicella",1
"AD","Pseudarcobacter",4
"AD","Pseudomonas",8
"AD","Pseudorhodobacter",2
"AD","R7C24",2
"AD","RBG-16-49-21",1
"AD","Raoultella",3
"AD","Rhizobacter",1
"AD","Rhodobacter",2
"AD","Rhodoferax",3
"AD","Rivicola",2
"AD","Romboutsia",6
"AD","Roseomonas",2
"AD","Ruminiclostridium",2
"AD","Ruminococcus",4
"AD","Runella",3
"AD","Rurimicrobium",2
"AD","SAR324_clade",1
"AD","SC-I-84",1
"AD","SD04E11",2
"AD","SM2D12",5
"AD","Saccharimonadales",7
"AD","Schlesneria",1
"AD","Sebaldella",1
"AD","Sericytochromatia",2
"AD","Serratia",1
"AD","Simplicispira",1
"AD","Soonwooa",1
"AD","Sphaerotilus",3
"AD","Sphingobium",1
"AD","Sphingomonas",2
"AD","Stenoxybacter",2
"AD","Streptococcus",4
"AD","Subdoligranulum",2
"AD","Sulfuricurvum",3
"AD","Sulfuritalea",1
"AD","Sulfurospirillum",1
"AD","Syntrophomonas",3
"AD","T34",3
"AD","TC1",1
"AD","TM7a",2
"AD","Taibaiella",1
"AD","Telmatospirillum",1
"AD","Tepidimonas",1
"AD","Terrimicrobium",1
"AD","Tessaracoccus",1
"AD","Tetragenococcus",1
"AD","Tetrasphaera",1
"AD","Thermoclostridium",2
"AD","Thermomonas",1
"AD","Thiothrix",3
"AD","Tolumonas",20
"AD","Treponema",2
"AD","Trichococcus",1
"AD","UBA10353_marine_group",1
"AD","UCG-009",1
"AD","UCG-010",2
"AD","UCG-012",1
"AD","UKL13-1",1
"AD","Undibacterium",3
"AD","Unknown_Family",1
"AD","Uruburuella",1
"AD","Vagococcus",1
"AD","Verruc-01",1
"AD","Vitreoscilla",3
"AD","Vogesella",1
"AD","WCHB1-32",5
"AD","Williamwhitmania",4
"AD","Wohlfahrtiimonas",1
"AD","Yersinia",1
"AD","Z-35",1
"AD","Zoogloea",8
"AD","[Agitococcus]_lubricus_group",2
"AD","[Desulfobacterium]_catecholicum_group",1
"AD","[Eubacterium]_coprostanoligenes_group",1
"AD","[Eubacterium]_eligens_group",1
"AD","[Ruminococcus]_gnavus_group",1
"AD","[Ruminococcus]_torques_group",3
"AD","alphaI_cluster",2
"AD","dgA-11_gut_group",1
"AD","env.OPS_17",2
"AD","mle1-27",1
"AD","uncultured",86
"AD","vadinHA49",2
"AS","Acetomicrobium",2
"AS","Acinetobacter",5
"AS","Akkermansia",1
"AS","Alkanindiges",1
"AS","Arcobacter",1
"AS","Babeliales",1
"AS","Beggiatoa",2
"AS","Bifidobacterium",1
"AS","Blautia",1
"AS","CAG-56",1
"AS","Candidatus_Accumulibacter",2
"AS","Candidatus_Bealeia",1
"AS","Candidatus_Paracaedibacter",1
"AS","Christensenellaceae_R-7_group",1
"AS","Chryseobacterium",1
"AS","Citrobacter",1
"AS","D8A-2",1
"AS","Defluviitalea",1
"AS","Edaphobaculum",1
"AS","Eggerthella",1
"AS","Enhydrobacter",1
"AS","Ferruginibacter",1
"AS","Flavobacterium",4
"AS","Geobacter",1
"AS","Holdemanella",1
"AS","Kapabacteriales",1
"AS","Leptothrix",1
"AS","Leucobacter",1
"AS","Macellibacteroides",1
"AS","Microbacterium",1
"AS","Mitochondria",3
"AS","Mycobacterium",1
"AS","Novosphingobium",1
"AS","Ottowia",2
"AS","Paludibacter",1
"AS","Prevotella",1
"AS","Propionivibrio",1
"AS","Proteiniclasticum",1
"AS","Pseudarcobacter",1
"AS","Pseudomonas",1
"AS","Pseudorhodobacter",1
"AS","Rhodobacter",1
"AS","Rhodoferax",1
"AS","Romboutsia",1
"AS","Roseomonas",1
"AS","Saccharimonadales",2
"AS","Sediminibacterium",1
"AS","Streptococcus",1
"AS","TM7a",1
"AS","Taibaiella",1
"AS","Thiothrix",1
"AS","Tolumonas",2
"AS","Uruburuella",1
"AS","XBB1006",1
"AS","Zoogloea",1
"AS","mle1-27",1
"AS","uncultured",12
"Eff","Acetobacterium",1
"Eff","Acidovorax",1
"Eff","Acinetobacter",5
"Eff","Actinomyces",1
"Eff","Aeromonas",5
"Eff","Alkanindiges",1
"Eff","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",1
"Eff","Anaerospora",1
"Eff","Anaerovorax",1
"Eff","Aquitalea",1
"Eff","Arcobacter",1
"Eff","Arsenicicoccus",1
"Eff","Babeliales",1
"Eff","Bacteroides",3
"Eff","Bacteroidetes_vadinHA17",1
"Eff","Beggiatoa",1
"Eff","Bifidobacterium",2
"Eff","Blautia",2
"Eff","Bosea",1
"Eff","Brevundimonas",1
"Eff","CM1G08",1
"Eff","Caldicoprobacter",2
"Eff","Candidatus_Accumulibacter",1
"Eff","Candidatus_Finniella",1
"Eff","Candidatus_Lariskella",1
"Eff","Candidatus_Magasanikbacteria",1
"Eff","Candidatus_Megaira",1
"Eff","Candidatus_Ovatusbacter",1
"Eff","Catenibacterium",1
"Eff","Cetobacterium",1
"Eff","Christensenellaceae_R-7_group",2
"Eff","Chryseobacterium",1
"Eff","Cloacibacterium",2
"Eff","Coprothermobacter",4
"Eff","Curvibacter",2
"Eff","Cutibacterium",1
"Eff","D8A-2",1
"Eff","DTU014",1
"Eff","Dechloromonas",2
"Eff","Defluviitalea",1
"Eff","Dermatophilaceae",1
"Eff","Desulfobulbus",1
"Eff","Devosia",1
"Eff","Edaphobaculum",1
"Eff","Ferruginibacter",3
"Eff","Flavobacterium",6
"Eff","Flectobacillus",1
"Eff","Fluviicola",2
"Eff","Formivibrio",1
"Eff","GKS98_freshwater_group",1
"Eff","GWE2-42-42",1
"Eff","Gemmobacter",1
"Eff","HN-HF0106",1
"Eff","Haliangium",1
"Eff","Halomonas",1
"Eff","Hydrogenispora",2
"Eff","Hydrogenophaga",1
"Eff","Hypnocyclicus",2
"Eff","KD1-131",1
"Eff","KD3-93",1
"Eff","Lachnospiraceae_ND3007_group",2
"Eff","Lacihabitans",1
"Eff","Lactococcus",3
"Eff","Lacunisphaera",1
"Eff","Legionella",1
"Eff","Lelliottia",1
"Eff","Lentimicrobium",1
"Eff","Leucobacter",3
"Eff","M2PB4-65_termite_group",1
"Eff","MBA03",1
"Eff","Macellibacteroides",4
"Eff","Methylotenera",1
"Eff","Monoglobus",1
"Eff","Moraxella",1
"Eff","NK4A214_group",1
"Eff","Novosphingobium",2
"Eff","Oikopleura",1
"Eff","Olsenella",1
"Eff","Oscillibacter",1
"Eff","Ottowia",1
"Eff","Paludibacter",4
"Eff","Paracoccus",3
"Eff","PeM15",2
"Eff","Phaselicystis",1
"Eff","Piscinibacter",1
"Eff","Prevotella",1
"Eff","Propionivibrio",2
"Eff","Prosthecobacter",1
"Eff","Pseudarcobacter",1
"Eff","Raoultella",1
"Eff","Rhodococcus",1
"Eff","Rhodoferax",1
"Eff","Rivicola",1
"Eff","Roseimicrobium",1
"Eff","Runella",1
"Eff","Rurimicrobium",1
"Eff","Sphingomonas",1
"Eff","Sphingopyxis",1
"Eff","Sporanaerobacter",1
"Eff","Streptococcus",1
"Eff","Subdoligranulum",2
"Eff","Sulfuricurvum",1
"Eff","Sumerlaea",1
"Eff","Thermomonas",1
"Eff","Tolumonas",2
"Eff","Vitreoscilla",1
"Eff","WCHB1-32",1
"Eff","Zoogloea",3
"Eff","[Agitococcus]_lubricus_group",4
"Eff","[Cytophaga]_xylanolytica_group",1
"Eff","[Eubacterium]_brachy_group",1
"Eff","[Eubacterium]_coprostanoligenes_group",1
"Eff","[Ruminococcus]_torques_group",1
"Eff","env.OPS_17",2
"Eff","uncultured",16
"Inf","AAP99",1
"Inf","AB1",1
"Inf","Acetobacterium",1
"Inf","Acetomicrobium",1
"Inf","Acinetobacter",17
